Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Hannah Rixon,52,24,8,8,1940.1799999999996,459.8200000000001,23.69986289931863
KerryAnn Morris,69,24,7,3,1206.7699999999998,1193.2300000000002,98.87799663564726
Blake Micallef,100,23,23,21,2665.36,-365.35999999999996,-13.707716781222798
Jacob Duggan,76,23,11,9,1567.07,632.9300000000001,40.389389114717275
Mitch Chapple,51,23,4,6,1527.32,772.68,50.59057695833224
Lisa Miles,67,22,19,12,1656.06,543.94,32.84542830573772
Jason Kittel,81,22,15,9,1532.2399999999998,667.76,43.58064010859918
Bryse McElhinney,66,22,11,6,1745.5800000000002,454.42,26.032608072961423
Rodney Ashwood,64,22,11,3,1352.72,847.28,62.635282985392394
Ryan Bell,54,22,8,4,2164.78,35.22,1.6269551640351443
Zac Chappenden,100,21,20,15,2349.41,-249.4099999999999,-10.615856747013076
Shane Hallcroft,66,21,18,11,1747.21,352.79,20.191619782395932
Glenn Bull,100,21,18,9,1517.32,582.68,38.401919173279204
David Drury,61,21,14,9,1392.9000000000003,707.1,50.76459185871202
Blake Medlyn,56,21,10,6,1342.86,757.1400000000001,56.382645994370236
Melissa Hawke,48,21,8,6,1118.7200000000003,981.28,87.7145308924485
Damon Watson,74,21,7,9,1356.0,744.0000000000001,54.86725663716815
Monique Burnett,83,20,16,9,1349.0199999999998,650.9799999999999,48.25577085588056
Amy Diebert,41,20,6,6,1315.58,684.4200000000001,52.024202252998684
John Newberry,72,19,23,6,1295.98,604.02,46.6072007284063
Todd Day,95,19,16,11,1583.0299999999997,316.97,20.022993878827318
Ben Xiriha,82,19,13,13,1517.29,382.71000000000004,25.22325989098986
Michael Jnr Day,53,19,13,9,1162.6999999999998,737.3,63.41274619420315
Hannah Van dongen,71,19,11,11,842.7599999999999,957.24,113.58393848782573
Luke Watson,56,19,10,4,1163.2199999999998,736.78,63.3396949846117
Nathan Townsend,52,19,8,9,1317.19,582.8099999999998,44.246464063650635
Klayton Bigeni,48,19,8,5,943.69,956.3100000000002,101.33730356367028
Matt Crone,86,18,17,14,1280.72,519.2800000000001,40.54594290711475
Emmett Brosnan,43,18,12,3,1050.04,749.9599999999999,71.42204106510228
Jason Ainsworth,49,18,9,5,1023.3499999999999,776.65,75.89290076708849
Kayleb Williams,69,18,8,7,1395.7599999999998,404.24,28.96199919756979
Michael A Smith,100,17,29,18,1967.55,-267.54999999999995,-13.598129653630147
Dayl March,81,17,15,11,1854.78,-154.78000000000003,-8.344925004582755
Kylie Sugars,39,17,9,8,1129.5800000000002,570.4200000000001,50.49841534021494
Scott Osmond,55,17,9,6,1121.57,578.43,51.57324108169797
Ashley Manton,58,17,9,3,737.83,962.1700000000001,130.4053779325861
Dale Afford,53,17,8,11,1226.51,473.4900000000001,38.60465874717696
Peter Greig,46,17,8,3,1093.39,606.61,55.47974647655457
