Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Darby McGuigan,100,2,3,10,267.20000000000005,-67.19999999999997,-25.149700598802383
Glen Craven,100,2,3,8,234.99,-34.99000000000001,-14.889995318949744
Aiden De Campo,100,2,3,7,275.13000000000005,-75.13000000000001,-27.307091193254095
Brian Gath,100,2,3,7,223.9,-23.899999999999988,-10.674408217954438
Stephanie Morris,100,2,3,7,248.90999999999997,-48.909999999999975,-19.649672572415724
Stephen Boyington,100,2,3,7,245.31,-45.310000000000024,-18.470506705800833
Jane Morris,100,2,3,6,246.06,-46.05999999999997,-18.719011623181324
Leigh Sutton,100,2,3,6,255.08,-55.080000000000005,-21.593225654696564
Todd Day,100,2,3,6,221.21,-21.210000000000008,-9.588174133176624
John Ogden,100,2,3,5,248.54,-48.53999999999998,-19.53005552426168
Ken Tippet,100,2,3,5,225.25,-25.25000000000001,-11.209766925638185
Molly Ison,100,2,3,5,269.07,-69.07000000000001,-25.66990002601554
Terry Brown,100,2,3,5,224.63,-24.629999999999985,-10.964697502559758
Joe Attard,72,2,3,4,167.07,32.93000000000001,19.710301071407198
Andrew Millard,100,2,3,3,238.07,-38.069999999999965,-15.99109505607593
Jason Gaffney,62,2,3,3,160.77,39.23000000000001,24.40131865397774
Sean O'Sullivan,100,2,3,3,246.13999999999996,-46.139999999999965,-18.74542943040545
Symon Kittel,100,2,3,2,157.80999999999997,42.190000000000026,26.734680945440743
Dallas Wilkins,100,2,3,1,218.10999999999999,-18.109999999999996,-8.303149786804822
Angela Chapman,100,2,2,14,242.49999999999997,-42.49999999999996,-17.525773195876273
Kelli Dawson,100,2,2,14,263.93000000000006,-63.93000000000001,-24.22233167885424
John Caldow,100,2,2,12,265.95000000000005,-65.95000000000003,-24.797894341041555
Brad Hewitt,100,2,2,11,269.41,-69.41,-25.76370587580268
Dean Cernovskis,100,2,2,10,270.74,-70.74,-26.12838886016104
Hayden Reeves,100,2,2,8,233.4,-33.40000000000002,-14.310197086546708
Michael Cole,68,2,2,8,161.18,38.82000000000002,24.084874053852847
Raymond Turner,100,2,2,8,194.35,5.6500000000000306,2.9071263184975717
Jack Stockton,59,2,2,7,151.55999999999997,48.44000000000001,31.960939561889695
Lauren White,100,2,2,6,235.32999999999998,-35.32999999999997,-15.012960523520153
Will Rothwell,51,2,2,6,146.72999999999996,53.27000000000001,36.30477748245078
Hannah Van dongen,100,2,2,5,269.29,-69.29000000000003,-25.730624976790832
Noel Parrish,100,2,2,5,183.52999999999997,16.47000000000002,8.974009698686876
Joseph Suvaljko,100,2,2,4,240.73,-40.729999999999976,-16.919370248826475
Klayton Bigeni,100,2,2,4,245.64000000000001,-45.64000000000001,-18.58003582478424
Todd Mumford,89,2,2,4,235.16000000000003,-35.15999999999998,-14.95152236774961
Jorja Daskalovski,34,2,2,3,107.63,92.37000000000002,85.82179689677602
Mark Lee,49,2,2,3,115.05,84.95000000000002,73.83746197305521
Michael Bellman,100,2,2,3,248.70000000000002,-48.699999999999946,-19.581825492561293
Ethan Arnott,74,2,2,2,198.16,1.8400000000000047,0.9285425918449762
Luke Hooper,92,2,2,2,250.09000000000003,-50.090000000000025,-20.028789635731144
Paul Matis,46,2,2,2,95.43999999999998,104.56000000000002,109.5557418273261
Blake Micallef,100,2,1,8,284.36,-84.36,-29.66661977774652
Brock Johnson,100,2,1,8,188.01,11.990000000000032,6.3773203553002675
Jason Ainsworth,100,2,1,7,237.95000000000002,-37.950000000000024,-15.948728724521969
Mark Hewitt,100,2,1,7,271.99000000000007,-71.99,-26.467884848707662
Michael Towers,100,2,1,7,208.61,-8.609999999999967,-4.127318920473595
Rickie Alchin,100,2,1,6,266.08000000000004,-66.07999999999997,-24.83463619963919
Glenn Conroy,100,2,1,5,218.02999999999997,-18.02999999999999,-8.26950419667018
Jamie Hogan,71,2,1,5,118.92000000000002,81.08000000000001,68.18028927009755
Deni Roberts,100,2,1,4,268.94000000000005,-68.93999999999998,-25.633970402320212
Geoffrey Scott,100,2,1,4,175.26999999999998,24.730000000000036,14.109659382666765
