Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Michael Jnr Day,8,6,1,0,515.49,84.50999999999999,16.39411045801082
Caris Hamilton-Smith,11,6,0,2,663.0500000000001,-63.05,-9.50908679586758
Courtney Laker,8,6,0,2,504.51,95.49,18.92727597074389
Tim Gillespie,8,6,0,1,505.76000000000005,94.24000000000001,18.633343878519458
Julie Brimacombe,7,6,0,0,455.03,144.96999999999997,31.85943783926334
Phoebe Betts,10,5,4,1,610.63,-110.63,-18.117354207949166
Trent Lethaby,12,5,3,1,827.7800000000001,-327.78,-39.59747759066418
Gary Jones,9,5,3,0,598.24,-98.24000000000001,-16.421503075688687
Keith Cotchin,16,5,2,4,1064.53,-564.53,-53.03091505171296
Denis McIntyre,9,5,2,2,607.76,-107.76,-17.730683164407004
Geoffrey Smith,11,5,2,1,698.06,-198.06,-28.37291923330373
Leilani Justice,10,5,2,1,593.8599999999999,-93.86,-15.805071902468598
Colin Knox,7,5,2,0,428.19,71.80999999999997,16.770592493986307
Symon Kittel,8,5,2,0,476.03000000000003,23.96999999999997,5.035396928764987
Basil Dooley,12,5,1,4,752.2100000000002,-252.20999999999998,-33.52920062216667
Paul Parsons,8,5,1,2,459.53,40.47,8.806824364024111
Adrian Shanks,8,5,1,1,521.49,-21.49000000000001,-4.1208843889623985
Codi Rauchenberger,8,5,1,1,560.96,-60.96000000000001,-10.867084997147746
Amy Day,8,5,1,0,512.75,-12.750000000000007,-2.4865919063871296
Jason Ainsworth,7,5,1,0,414.16999999999996,85.83000000000001,20.723374459762905
Ella Brechin,6,5,0,1,326.78,173.22000000000003,53.00814003304977
Neville Pangrazio,9,5,0,1,510.7,-10.700000000000003,-2.0951635010769536
David Farrar,6,5,0,0,363.67,136.33,37.487282426375565
Jamie Cassar,7,5,0,0,453.14,46.86,10.341174912830473
John Hurrell,5,5,0,0,329.74,170.26,51.63462121671619
Josh Powderly,6,5,0,0,368.9,131.1,35.53808620222282
Mathew McCarthy,5,5,0,0,279.62,220.38,78.81410485659109
Mick Dennis,5,5,0,0,320.37,179.63,56.06954458906889
Shane Hoban,7,5,0,0,421.53999999999996,78.46000000000001,18.612705793044555
Brad Abbott,12,4,6,2,672.2699999999999,-272.27000000000004,-40.5000966873429
Peter Birks,12,4,6,0,787.3800000000001,-387.38000000000005,-49.198608041860346
Bruce Stanley,12,4,4,2,738.45,-338.45,-45.832486965942174
Chris Angove,9,4,4,1,543.9100000000001,-143.91,-26.45842143001599
Peter King,8,4,4,0,477.87,-77.87,-16.29522673530458
Nathan Cahir,10,4,3,0,641.62,-241.62,-37.657803684423804
Patrick Tomkinson,10,4,2,3,585.46,-185.46,-31.67765517712568
Ross Collins,8,4,2,1,506.15999999999997,-106.16,-20.9736051841315
