Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Tim Gillespie,44,15,12,5,1111.0600000000002,388.93999999999994,35.00621028567313
Darren Billinger,47,15,11,11,1390.7300000000002,109.27000000000004,7.857024728020537
Brett Woodhouse,39,15,10,3,1491.9199999999996,8.080000000000013,0.5415839991420461
Phoebe Betts,35,15,8,3,1153.3200000000002,346.68,30.05930704401207
Leigh Rand,49,15,7,5,1407.04,92.96000000000006,6.6067773481919545
Luke Mulley,37,15,7,4,1171.5,328.50000000000006,28.04097311139565
Aaron Williams,30,15,7,1,966.8100000000001,533.19,55.14940888075217
Michael Xuereb,36,15,6,4,1029.31,470.6900000000001,45.72869203641275
Susan Hunter,36,15,6,2,921.4499999999999,578.55,62.786911932280645
Rebecca Bartley,31,15,5,5,1213.87,286.13,23.571716905434688
Jake Stockton,38,15,5,4,1433.84,66.16000000000003,4.614182893488816
Olivia Frisby,29,15,5,3,815.48,684.52,83.94074655417668
Ian Osmond,36,15,5,2,943.9100000000001,556.0900000000001,58.91345573200836
Danny O'Brien,30,15,3,4,1189.8300000000002,310.17,26.06842994377348
Kate Attard,46,14,12,4,1088.93,311.07,28.566574527288253
Graham Betts,34,14,10,4,589.71,810.29,137.40482610096487
Mark McNee,34,14,9,3,1093.25,306.75000000000006,28.05854104733593
Jane Walker,42,14,8,7,887.56,512.44,57.73581504349002
Darrell Dwyer,31,14,8,2,828.09,571.91,69.06374910939631
Bill Milner,38,14,7,5,913.69,486.31,53.22483555691755
Gail Geeson,38,14,7,3,778.07,621.9299999999998,79.93239682804887
Adrian Duggan,51,14,6,7,890.63,509.37000000000006,57.19209997417559
Damien Burns,39,14,6,7,1255.39,144.61,11.519129513537626
Rosemarie Weidenbach,58,14,6,6,1302.8799999999999,97.12000000000002,7.454255188505467
Josh Powderly,31,14,6,5,864.0700000000002,535.9299999999998,62.02391009987613
Garry Shepherdson,39,14,5,4,696.3999999999999,703.5999999999999,101.03388856978748
Kevin Von Duve,27,14,5,2,640.16,759.84,118.69532616845791
Mitch Turnbull,56,14,4,12,1343.03,56.97,4.241900776602161
Tonia Stampalia,39,14,4,7,1339.02,60.98000000000001,4.554076862182791
Tayla Warren,20,14,4,1,921.0500000000001,478.95000000000005,52.00043428695511
Kyle Anderson,27,14,3,6,1074.1499999999999,325.85,30.33561420658196
Suzanne Grace,39,14,3,4,663.4300000000001,736.5699999999998,111.0245240643323
Caris Hamilton-Smith,24,14,3,2,711.8299999999999,688.17,96.67617268167962
Ryan Cummins,22,14,2,3,738.8799999999999,661.12,89.47596362061499
Ian Slater,25,14,0,5,511.29999999999995,888.7,173.81185214159987
Cameron Maggs,52,13,13,7,1279.3300000000002,20.67000000000003,1.6156894624530052
Ruth Shinn,48,13,11,6,1062.83,237.17000000000007,22.314951591505704
Amy Cargill,45,13,10,5,1032.03,267.9700000000001,25.965330465199663
Christopher Nicol,39,13,10,4,970.5200000000001,329.47999999999996,33.948810946708974
Brad Abbott,100,13,9,10,1568.67,-268.66999999999985,-17.127247923400066
Cameron Davies,38,13,8,5,983.4299999999998,316.56999999999994,32.190394842540904
Stephen O'Donoghue,30,13,8,2,1417.7500000000002,-117.75,-8.305413507317933
Stephen Kilroy,33,13,7,3,927.87,372.13,40.10583379137164
Brent Thomson,31,13,7,2,866.5600000000001,433.44000000000005,50.018463810930584
Glenn Elliott,34,13,7,2,1185.82,114.18,9.628780084667152
Juanita Breen,30,13,7,1,622.48,677.5200000000001,108.84205115023778
Keith Cotchin,31,13,6,5,1185.3300000000002,114.67000000000007,9.674099196004493
John Hurrell,34,13,6,4,828.0999999999999,471.9000000000001,56.98587127158557
Ron Wells,42,13,5,6,981.13,318.87000000000006,32.50028028905446
Christopher Howlett,25,13,5,2,925.3,374.70000000000005,40.49497460283152
Brian Bourke,60,13,4,7,909.8900000000001,390.1100000000001,42.87441339062965
Gregory Rue,25,13,4,3,927.52,372.48,40.15870277729861
Graeme Howard,24,13,4,2,533.55,766.45,143.65101677443542
Stephen Maguire,23,13,4,2,929.5699999999999,370.43,39.84960788321482
Colin Reeves,32,13,4,0,725.37,574.63,79.21888139845872
Shane Hoban,33,13,3,3,700.48,599.52,85.58702603928734
Peter Payne,26,13,2,3,891.1099999999999,408.89,45.88546868512305
Mitchell Frost,26,13,2,1,802.71,497.29,61.951389667501346
Lisa McDonald,39,12,14,3,969.1199999999999,230.88000000000002,23.823675086676577
Marnie Bibby,41,12,12,6,970.6,229.40000000000003,23.634865031939007
David Simmonds,51,12,11,10,1306.6799999999998,-106.68,-8.164202406097898
Shane Osborn,60,12,11,10,903.1999999999999,296.8,32.86093888396812
Leah Holman,51,12,9,8,1200.06,-0.05999999999998984,-0.004999750012498528
