Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Ian Hunter,17,1,1,1,274.07000000000005,-174.07,-63.51297113876016
Ian Stanley,15,1,1,1,206.35000000000002,-106.34999999999998,-51.53864792827718
James Frost,10,1,1,1,219.87999999999997,-119.88,-54.520647625977816
Jamie Egan,10,1,1,1,131.45,-31.45,-23.92544693799924
Jeff Tabone,9,1,1,1,164.18,-64.18,-39.091241320501894
Jodie Ward,14,1,1,1,145.85,-45.84999999999999,-31.436407267740822
June Henderson,15,1,1,1,129.70000000000002,-29.7,-22.898997686969928
Laurie O'Keeffe,9,1,1,1,136.35999999999999,-36.36000000000001,-26.664711058961583
Mal Phillips,7,1,1,1,134.38,-34.379999999999995,-25.584164310165203
Malcom Jones,8,1,1,1,87.69,12.309999999999995,14.038088721633022
Mario Condipodero,4,1,1,1,140.10000000000002,-40.1,-28.622412562455384
Paula Petricevich,11,1,1,1,157.35,-57.35,-36.447410231966956
Stuart Glasby,13,1,1,1,152.63,-52.629999999999995,-34.48208084911223
Wayne White,18,1,1,1,375.41,-275.41,-73.36245704696199
Ben Parker,2,1,1,0,67.75,32.25,47.601476014760145
Danny Weinert,7,1,1,0,86.66,13.340000000000002,15.393491807062084
Derrick Krafft,20,1,1,0,257.81,-157.80999999999997,-61.211745083588674
Gail Geeson,17,1,1,0,247.71,-147.71,-59.63021274877881
Grant Coelli,7,1,1,0,188.64999999999998,-88.65,-46.991783726477614
Greg Andrews,15,1,1,0,119.86,-19.859999999999996,-16.569330886033704
Gregory Scott,5,1,1,0,61.43,38.56999999999999,62.78691193228063
Jennifer Douglas,10,1,1,0,162.17999999999998,-62.18,-38.34011592058207
Liam Armstrong,6,1,1,0,124.61000000000001,-24.610000000000007,-19.749618810689356
Lisa Hardy,3,1,1,0,120.61999999999999,-20.619999999999997,-17.095009119548994
Lynton Bishop,5,1,1,0,112.49000000000001,-12.490000000000009,-11.10320917414882
Mal Whiteford,5,1,1,0,31.610000000000003,68.39,216.35558367605188
Miller Youkhana,4,1,1,0,74.38,25.619999999999997,34.444743210540466
Neil Caldwell,9,1,1,0,120.74,-20.740000000000002,-17.17740599635581
Neville Dawson,3,1,1,0,112.10000000000001,-12.100000000000001,-10.793933987511151
Noel Maxwell,11,1,1,0,72.25,27.75,38.4083044982699
Ross Arentz,14,1,1,0,195.24999999999997,-95.24999999999999,-48.78361075544174
Stephen Mark,5,1,1,0,63.18,36.82,58.27793605571383
