Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Jordan Leedham,100,10,8,13,1256.8899999999999,-256.89,-20.438542752349054
Doug Hewitt,100,10,8,7,1040.2299999999998,-40.22999999999996,-3.8674139373023246
Cooper Griffiths,100,10,7,12,1064.04,-64.04000000000003,-6.018570730423671
Sean O'Sullivan,100,10,7,9,958.2599999999999,41.74000000000003,4.355811575146624
Gareth Rattray,100,10,7,7,1302.0600000000002,-302.05999999999995,-23.198623719337043
Grace Panella,100,10,5,17,1325.2300000000002,-325.22999999999996,-24.541400360692098
Leilani Justice,100,10,5,13,980.5500000000002,19.45000000000003,1.9835806435163967
Bernadette Page,100,10,4,10,899.47,100.53,11.176581764817058
Samantha Hill,100,9,16,14,1200.7,-300.69999999999993,-25.043724494045133
Michael A Smith,100,9,16,13,1442.22,-542.2199999999999,-37.59620584931563
Jack Callaghan,100,9,16,5,1716.6,-816.5999999999998,-47.57077944774553
Kerryn Manning,100,9,15,16,1622.5,-722.5000000000001,-44.53004622496148
Blake Hughes,100,9,15,11,1602.8400000000001,-702.8399999999999,-43.84966684135658
Michael Bellman,100,9,14,12,1376.08,-476.08,-34.59682576594384
Nathan Hurst,100,9,13,13,1076.96,-176.96,-16.43143663645818
Brodie Davis,100,9,13,12,1182.28,-282.2800000000001,-23.87590080184052
Jason Kittel,100,9,13,12,1441.9799999999998,-541.98,-37.58581949818999
Trent Wheeler,100,9,13,11,1305.88,-405.87999999999994,-31.08095690262504
Lachlan Kennelly,100,9,13,9,1284.5800000000002,-384.58000000000004,-29.938189914213204
Gavin Fitzpatrick,100,9,12,15,1520.1100000000001,-620.11,-40.79375834643545
Taleah McMullen,100,9,12,13,1340.0399999999997,-440.03999999999985,-32.83782573654517
Gemma Hewitt,100,9,11,14,1040.6,-140.59999999999997,-13.511435710167207
Kylie Sugars,100,9,10,11,1213.1299999999999,-313.13,-25.81174317674116
Scott Hewitt,100,9,9,15,1090.52,-190.5199999999999,-17.4705645013388
Corey Bell,100,9,9,12,954.0900000000001,-54.09000000000001,-5.669276483350628
Phoebe Betts,100,9,9,4,1053.4,-153.39999999999992,-14.562369470286681
Aaron Suvaljko,100,9,8,15,813.6199999999999,86.38000000000004,10.616749834074882
Kayleb Williams,100,9,8,9,1175.54,-275.53999999999996,-23.439440597512633
Will Rixon,100,9,7,13,1669.6100000000004,-769.61,-46.09519588406872
Emmett Brosnan,100,9,7,12,1214.0,-314.0,-25.86490939044481
Lauren White,100,9,6,5,909.0999999999999,-9.099999999999959,-1.0009899901000945
Blake Pace,100,9,5,7,1096.5700000000002,-196.57,-17.925896203616727
Shane Steele,100,9,5,6,787.6600000000001,112.33999999999997,14.262499047812504
Luke Dunne,100,8,15,15,1755.2499999999998,-955.2499999999999,-54.422446944879646
Anne-Maree Conroy,100,8,15,11,1024.62,-224.61999999999998,-21.922273623392087
Scott Ewen,100,8,14,11,1103.3600000000001,-303.35999999999996,-27.49419953596287
Mitchell Miller,100,8,13,17,1257.1900000000003,-457.19,-36.36602263778744
Darren McCall,100,8,13,16,926.4699999999999,-126.46999999999994,-13.650738825865915
Abbey Vidovich,100,8,13,12,1308.3300000000002,-508.33000000000004,-38.85334739706343
Chloe Butler,100,8,13,9,1341.12,-541.1199999999999,-40.348365545215934
Lindsay Harper,100,8,13,7,1157.4600000000003,-357.46000000000004,-30.88314067008795
Jason Turnbull,100,8,12,14,1080.6500000000003,-280.65000000000003,-25.970480729190758
Olivia Frisby,100,8,12,9,1040.98,-240.98,-23.149340044957633
Trista Dixon,100,8,11,20,1287.92,-487.9199999999999,-37.88434064227591
Glenn Bull,100,8,11,15,862.6699999999998,-62.66999999999995,-7.264655082476493
Cody Wallrodt,100,8,11,8,1228.4700000000003,-428.4699999999999,-34.87834460751991
Damon Watson,100,8,11,3,1110.81,-310.80999999999995,-27.980482710814623
Travis Bullock,100,8,10,18,1133.21,-333.21,-29.404082208946264
Jonah Hutchinson,100,8,10,17,1127.2999999999997,-327.3,-29.033974984476192
Bryse McElhinney,100,8,10,16,1064.4899999999998,-264.48999999999995,-24.84664017510733
Hannah Anforth,100,8,10,15,1139.5099999999998,-339.51,-29.79438530596485
Declan Murphy,100,8,10,12,1023.1500000000001,-223.14999999999992,-21.810096271318958
Hannah Parish,100,8,10,7,959.5299999999999,-159.52999999999994,-16.625848071451646
Todd Rattray,100,8,9,12,1319.14,-519.14,-39.35442788483405
Blake Micallef,100,8,9,11,1244.5199999999998,-444.52,-35.71818853855302
George Lee,100,8,9,11,1442.0599999999997,-642.06,-44.523806221655136
Jake Bigeni,100,8,7,10,674.1499999999999,125.85000000000015,18.66795223614925
Andrew Bourke,100,8,6,12,743.1700000000001,56.82999999999999,7.646971756125784
Lola Weidemann,100,8,3,16,707.9900000000001,92.01000000000009,12.995946270427558
Joshua Gallagher,100,7,16,18,1537.5499999999997,-837.55,-54.47302526747099
Leonard Cain,100,7,15,11,1447.85,-747.8499999999999,-51.6524501847567
Alanah Richardson,100,7,14,13,1176.29,-476.28999999999996,-40.49086534783089
Jason Hewitt,100,7,13,11,1097.88,-397.87999999999994,-36.24075490946186
Dean Cernovskis,100,7,13,10,1288.4499999999998,-588.45,-45.671155264077
Tom Nally,100,7,13,5,963.4199999999998,-263.41999999999996,-27.342176828382218
Chris Lewis,100,7,12,16,1281.0800000000002,-581.08,-45.358603678146565
Jodi Quinlan,100,7,12,16,1101.94,-401.94,-36.47567018167958
Mark Hewitt,100,7,12,13,944.3899999999999,-244.38999999999993,-25.87808003049587
Ella Turnbull,100,7,12,6,1031.4299999999998,-331.42999999999995,-32.13305798745431
Jim Douglass,100,7,11,17,752.69,-52.690000000000005,-7.000225856594349
Roger Strong,100,7,11,13,742.55,-42.54999999999998,-5.73025385495926
Shane Hallcroft,100,7,11,7,938.7200000000001,-238.72000000000003,-25.43037327424578
Jordan Topping,100,7,9,10,1203.0699999999997,-503.07000000000005,-41.8155219563284
Brian Portelli,100,7,9,7,1114.8600000000001,-414.86,-37.21184722745456
Stephanie Morris,100,7,8,10,777.4800000000001,-77.47999999999995,-9.965529659926935
Nicholas Brown,100,7,8,8,584.84,115.16000000000003,19.69085561863074
Matt Newberry,100,7,8,7,726.6300000000001,-26.629999999999974,-3.664863823403929
Brett Shipway,100,7,8,4,720.1300000000001,-20.13000000000001,-2.795328621221169
Paula Sapio,100,7,7,13,841.8099999999998,-141.80999999999997,-16.845844074078475
David Smith,100,7,5,19,939.9,-239.89999999999992,-25.5239919140334
Hannah Van dongen,100,7,4,14,793.9300000000001,-93.93000000000004,-11.831017847921105
Lauren Harper,100,7,4,11,963.72,-263.71999999999997,-27.364794753662885
Ryan Warwick,100,6,16,5,837.1899999999999,-237.18999999999994,-28.331680980422597
Anthony Varga,100,6,14,16,885.01,-285.00999999999993,-32.20415588524423
Ross Graham,100,6,13,9,676.26,-76.25999999999995,-11.276727885724418
Chris Geary,100,6,13,6,768.81,-168.81000000000006,-21.95731064892497
Blake Medlyn,100,6,12,14,1086.0599999999997,-486.05999999999995,-44.754433456715105
Kyle Harper,100,6,12,10,1189.83,-589.83,-49.57262802249062
Leigh Sutton,100,6,12,9,1242.93,-642.93,-51.72696772947793
Kathy Watson,100,6,10,16,665.64,-65.63999999999994,-9.861186226789247
Cameron Fitzpatrick,100,6,10,11,1192.53,-592.53,-49.686800332067115
Klayton Bigeni,100,6,10,10,860.9499999999999,-260.94999999999993,-30.309541785237233
Taylah Osmond,100,6,10,9,1147.66,-547.66,-47.71970792743495
Mitch Turnbull,100,6,10,8,1171.32,-571.3199999999999,-48.775740190554245
Nathan Turnbull,100,6,10,8,1123.1100000000001,-523.1100000000001,-46.57691588535407
Ada Massa,100,6,9,10,770.5699999999999,-170.57,-22.13556198658136
Zara Fitzpatrick,100,6,9,8,1185.7399999999998,-585.74,-49.39868773930205
Brent Murphy,100,6,9,7,874.73,-274.72999999999996,-31.407405713763097
Molly Ison,100,6,9,7,1086.4500000000003,-486.45000000000005,-44.77426480740024
Paige Bevan,100,6,9,7,1179.58,-579.5800000000002,-49.13443768120858
Abby Sanderson,100,6,9,2,788.74,-188.73999999999995,-23.92930496741638
Donald Harper,100,6,8,14,934.5000000000001,-334.50000000000006,-35.79454253611557
Luke Watson,100,6,8,12,776.08,-176.07999999999998,-22.688382640964846
Josh Duggan,100,6,8,9,951.82,-351.82,-36.962871131096215
Cameron Maggs,100,6,7,11,926.1899999999998,-326.19,-35.21847569073301
Callan Suvaljko,100,6,7,9,806.11,-206.10999999999999,-25.568470804232668
Mitch Cox,100,6,6,11,836.3399999999999,-236.33999999999992,-28.25884209771145
Brent Livingstone,100,6,5,8,768.5,-168.5,-21.92582953806116
George Chamouras,100,6,4,8,796.5399999999998,-196.53999999999996,-24.67421598413137
Tiarna Ford,100,5,16,10,929.3000000000001,-429.29999999999995,-46.196061551705576
Garry Johnson,100,5,15,9,721.9999999999999,-221.99999999999997,-30.747922437673132
Nathan Rothwell,100,5,13,11,1153.64,-653.6400000000001,-56.658923060920216
Matthew Atkinson,100,5,11,11,763.63,-263.63,-34.523263884341894
John Walters,100,5,11,5,700.2699999999999,-200.26999999999998,-28.598968969111915
Emma Turnbull,100,5,10,10,817.8300000000002,-317.83000000000004,-38.86259980680581
Rodney Atkins,100,5,10,9,990.3199999999999,-490.31999999999994,-49.511269084740285
Mikayla Towers,100,5,9,5,715.84,-215.83999999999995,-30.151989271345542
Gary Pekin,100,5,8,13,650.2099999999999,-150.20999999999998,-23.10176712139155
Kirra Langelaar,100,5,7,8,757.38,-257.37999999999994,-33.982941192004006
Darcy Kulcsar,100,5,5,10,605.8,-105.80000000000003,-17.464509739187857
Zac Chappenden,100,5,4,5,778.24,-278.24,-35.75246710526316
Anthony Butt,100,5,3,10,799.25,-299.25,-37.44135126681264
Briana Edman,100,5,2,3,608.81,-108.80999999999997,-17.872571081289728
Lisa Ryan,100,4,21,13,1197.81,-797.8099999999998,-66.60572210951652
Caitlin McElhinney,100,4,13,10,655.62,-255.62,-38.98904853421189
Corey Peterson,100,4,11,11,1255.99,-855.99,-68.15261268003727
Sebastian Piltz,100,4,10,11,748.04,-348.0399999999999,-46.526923693920104
Jemma Coney,100,4,8,6,1035.0,-635.0000000000001,-61.352657004830924
Dan Morgan,100,4,7,7,511.2,-111.19999999999996,-21.752738654147098
Jason Ainsworth,100,4,6,5,626.5,-226.5,-36.15323224261772
Connor Clarke,100,4,5,13,811.7400000000001,-411.73999999999995,-50.72313795057529
Matt Crone,100,4,4,9,587.74,-187.73999999999995,-31.942695749821343
Neil McCallum,100,4,4,5,556.73,-156.72999999999996,-28.15188691106999
Owen Shea,100,4,4,3,460.6999999999999,-60.69999999999999,-13.175602344258738
Raymond Turner,100,4,3,8,393.96000000000004,6.040000000000011,1.5331505736623035
Ricky Gordon,100,4,3,8,423.51,-23.510000000000016,-5.551226653443842
Chris Walsh,100,4,2,1,362.35999999999996,37.64000000000004,10.38745998454577
Toby Lynn,100,3,13,8,815.72,-515.72,-63.2226744471142
Graham Betts,100,3,10,13,570.68,-270.68,-47.43113478657041
Hayden Charles,100,3,7,11,696.1199999999999,-396.11999999999995,-56.90398207205655
Tony Pullicino,100,3,6,15,905.09,-605.09,-66.85412500414324
Ricky Duggan,100,3,6,13,563.4100000000001,-263.41,-46.752808789336356
Clint Sneddon,100,3,6,9,572.62,-272.61999999999995,-47.609234745555504
Gary Whitaker,100,3,6,9,748.63,-448.63,-59.92679962064037
Sam Ison,100,3,5,8,578.6,-278.6,-48.15070860698237
Michael Jnr Day,100,3,4,5,709.25,-409.2499999999999,-57.701797673598854
Noel Parrish,100,3,4,5,292.53999999999996,7.460000000000042,2.550078621726958
Charli Masotti,100,2,12,8,915.22,-715.22,-78.14733069644457
Glenn McElhinney,100,2,11,9,780.3799999999999,-580.3799999999999,-74.37146005792049
Rod Barker,100,2,7,6,428.49999999999994,-228.49999999999994,-53.32555425904317
KerryAnn Morris,100,2,7,4,578.2400000000001,-378.23999999999995,-65.41228555617042
Danny Mackney,100,2,2,9,398.30999999999995,-198.30999999999995,-49.78785368180562
Michael Wood,100,1,10,8,632.1199999999999,-532.12,-84.18021894576981
Ky Bloomfield,100,1,6,10,783.5899999999999,-683.5899999999999,-87.23822407126175
Mark Riseley,100,1,0,3,308.38000000000005,-208.37999999999997,-67.57247551721899
Jeremy Quinlan,100,0,8,8,440.43,-440.43,-100.0
