Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Nick Youngson,33,2,4,3,526.15,-326.15,-61.98802622826191
Melissa Gillies,32,2,5,3,339.02,-139.01999999999998,-41.006430299097396
David Goulden,30,2,1,4,299.7,-99.7,-33.2665999332666
Chris Svanosio,30,2,4,6,538.06,-338.06,-62.829424227781296
Michael Hawke,28,2,3,4,475.31,-275.31,-57.92219814436894
Peter Manning,28,2,3,4,211.04999999999995,-11.049999999999999,-5.23572613124852
Ryan Veivers,27,2,4,3,378.31,-178.31,-47.13330337553858
David Miles,24,2,0,2,222.78,-22.779999999999998,-10.22533441062932
Simon Jnr Bigeni,24,2,4,1,308.78,-108.77999999999999,-35.228965606580736
Paul Kahlefeldt,23,2,1,2,214.8499999999999,-14.849999999999993,-6.911798929485687
Russell Jack,22,2,2,4,529.73,-329.72999999999996,-62.244917221981
Kim Prentice,22,2,3,3,287.59,-87.58999999999996,-30.45655273131888
Tayla Gillespie,21,2,0,1,165.32,34.68000000000003,20.977498185337545
Tiarn McElhinney,21,2,1,1,174.54999999999998,25.450000000000014,14.580349470065892
David Aiken,21,2,2,2,293.96999999999997,-93.97,-31.96584685512127
Luke Watson,21,2,2,4,187.01999999999998,12.980000000000011,6.9404341781627705
James Rattray,21,2,4,2,312.65,-112.64999999999999,-36.030705261474495
Garry Johnson,20,2,2,2,116.17999999999998,83.82000000000001,72.14666896195561
Kevin Keys,20,2,2,4,360.66,-160.66,-44.54610990961015
Peter Tilbrook,20,2,5,2,286.49999999999994,-86.5,-30.191972076788836
Mark Hewitt,19,2,2,2,126.77999999999999,73.22000000000001,57.753588894147356
Ingrid Smith,19,2,3,1,329.3,-129.3,-39.26510780443365
Alison Alford,18,2,3,5,210.73000000000002,-10.729999999999999,-5.091823660608361
Michael Laugher,18,2,4,2,257.19,-57.19,-22.236478867763132
Mick Carbone,17,2,3,0,174.55,25.450000000000017,14.580349470065892
Geoff Webster,17,2,3,1,158.48,41.519999999999996,26.19888944977284
Greg Andrews,16,2,2,1,166.67,33.33,19.99760004799904
Rebecca East,16,2,2,2,182.22,17.78,9.757436066293492
Jocelyn Young,16,2,3,1,269.80999999999995,-69.80999999999999,-25.87376301842037
Craig Turnbull,15,2,0,4,307.9100000000001,-107.91,-35.045954986846795
David Simmonds,15,2,2,0,205.26999999999998,-5.269999999999991,-2.5673503190919233
Brad Angove,15,2,2,2,171.73999999999998,28.26000000000002,16.455106556422514
David Murphy,15,2,4,1,211.53,-11.530000000000015,-5.450763485084866
Alex Ashwood,15,2,5,1,271.84999999999997,-71.85,-26.430016553246276
Peta Brown,14,2,0,4,198.59999999999997,1.3999999999999964,0.7049345417925461
Laura Wilson,14,2,1,0,153.32999999999998,46.669999999999995,30.4376182090915
Jake Davis,14,2,1,2,288.52,-88.52,-30.680715375017332
Matthew Horsnell,14,2,1,3,235.87999999999997,-35.879999999999995,-15.211124300491777
Toby Ryan,14,2,2,1,333.52000000000004,-133.51999999999998,-40.03358119453105
Tim Gillespie,14,2,2,3,236.20000000000002,-36.19999999999999,-15.32599491955969
Steven Davis,14,2,3,3,189.46999999999997,10.530000000000008,5.557608064601261
Mark Lee,13,2,0,1,154.55999999999997,45.44,29.399585921325055
Vic Frost,13,2,0,1,275.03,-75.03,-27.28066029160455
Ruth Shinn,13,2,0,2,81.71,118.29,144.76808224207565
Samantha Gangell,13,2,1,0,195.70999999999998,4.290000000000008,2.1920188033314645
Neil Day,13,2,1,2,222.29000000000002,-22.290000000000003,-10.027441630302757
Gary Pekin,13,2,1,3,151.92999999999998,48.06999999999999,31.63957085499901
Todd Rattray,13,2,1,4,277.45,-77.44999999999999,-27.914939628761935
Greg Franklin,13,2,2,0,220.18999999999997,-20.189999999999994,-9.169353739951859
Jordan Chibnall,13,2,2,1,228.09,-28.090000000000003,-12.31531413038713
Tori Hutchins,13,2,4,1,387.15,-187.14999999999998,-48.340436523311375
John Newberry,12,2,1,0,280.44,-80.44,-28.6834973612894
Allan MacDonald,12,2,1,1,179.23000000000002,20.770000000000007,11.588461753054737
Adam Stephens,12,2,1,2,122.72,77.28,62.97262059973925
Cameron Ross,12,2,2,0,203.0,-2.999999999999993,-1.4778325123152674
Kylie Garaty,12,2,2,1,130.42,69.58,53.35071308081582
Brett Smith,12,2,4,1,251.56,-51.559999999999995,-20.496104309111143
