Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Ricky Thurlow,100,5,9,12,895.6500000000001,-395.65000000000003,-44.17462178306258
Tina Ridis,73,5,9,11,780.5799999999999,-280.58,-35.94506648902099
Blake Micallef,100,5,9,10,1204.51,-704.5100000000001,-58.48934421465991
John Caldow,100,5,9,9,1053.2799999999997,-553.2799999999999,-52.52924198693605
Joe Taaffe,73,5,9,8,465.36999999999995,34.630000000000024,7.441390721361503
Shane Hallcroft,100,5,9,8,892.4,-392.4,-43.97131331241596
Jim Douglass,100,5,8,16,852.8399999999998,-352.8399999999999,-41.372355893250784
Ben Xiriha,100,5,8,14,794.4599999999999,-294.46,-37.064169372907386
Dean Miller,100,5,8,12,759.82,-259.82,-34.19494090705693
Lauren White,74,5,8,8,731.53,-231.53000000000003,-31.65010320834416
Abby Sanderson,100,5,8,4,1033.81,-533.8100000000001,-51.63521343380313
Bernadette Page,100,5,8,4,910.65,-410.65,-45.094163509581065
Blake Jones,100,5,7,19,1286.37,-786.3699999999999,-61.13093433460046
Tiana McMahon,100,5,7,15,636.6899999999999,-136.68999999999994,-21.468846691482504
Ross Graham,100,5,7,8,712.21,-212.20999999999995,-29.795987138624835
Grace Bilney,58,5,7,6,864.2599999999999,-364.26000000000005,-42.147039085460406
Amanda Dean,79,5,6,10,649.77,-149.76999999999995,-23.04969450728719
Hannah Lewis,81,5,6,9,795.75,-295.75,-37.166195413132264
Todd Day,100,5,6,9,687.31,-187.30999999999995,-27.252622542957322
Austin Mifsud,100,5,6,8,412.81,87.19000000000004,21.12109687265329
Rita Burnett,100,5,6,8,484.86,15.140000000000018,3.1225508394175674
Steven Doherty,64,5,6,8,670.26,-170.26,-25.402082773848957
Joe Pace,40,5,6,4,660.02,-160.01999999999998,-24.24471985697403
Caitlin McElhinney,100,5,5,14,641.57,-141.56999999999994,-22.066181398756164
Roger Strong,93,5,5,9,472.24,27.760000000000026,5.878366932068445
Jared Kahlefeldt,100,5,4,12,726.74,-226.7399999999999,-31.199603709717355
Hannah Van dongen,100,5,4,10,622.98,-122.98000000000002,-19.740601624450225
Neil McCallum,100,5,4,8,662.5200000000001,-162.52,-24.53058020889935
Darryl Lawlor,31,5,4,5,554.65,-54.64999999999999,-9.853060488596412
Troy Hillier,24,5,4,4,422.91,77.09,18.228464685157597
Vance Stampalia,53,5,3,10,594.89,-94.88999999999999,-15.950848055943116
Glenn Conroy,100,5,3,9,554.63,-54.629999999999924,-9.849809783098628
Matthew Atkinson,56,5,3,8,483.89000000000004,16.109999999999985,3.3292690487507457
Eddie Tappe,74,5,3,7,894.97,-394.96999999999997,-44.13220554878934
Jack Sullivan,66,5,3,7,714.5899999999999,-214.59,-30.029807302089313
Josh Duggan,100,5,3,7,850.0,-349.99999999999994,-41.17647058823529
Damien Burns,34,5,3,1,399.11999999999995,100.88,25.275606333934657
Angela Chapman,66,5,2,12,607.6899999999999,-107.68999999999993,-17.721206536227342
Robert Young,19,5,2,0,301.4500000000001,198.54999999999998,65.86498590147617
Mitchell Miller,100,4,18,16,1222.13,-822.13,-67.27025766489653
Olivia Frisby,100,4,13,11,875.9300000000002,-575.9300000000002,-65.75068784035255
Dean Belford,56,4,13,10,787.8,-387.8,-49.22569179994923
Mikayla Towers,100,4,12,11,717.09,-317.0899999999999,-44.218996220836985
David Murphy,100,4,11,11,921.0499999999997,-521.05,-56.57130448944141
Heath Woods,51,4,11,8,747.6300000000001,-347.63,-46.49759907975869
