Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Emily Suvaljko,98,5,9,16,1260.8100000000002,-760.8100000000001,-60.34295413266074
Shannon Suvaljko,87,5,4,14,871.28,-371.28,-42.61316683500137
Abbey Vidovich,75,5,10,12,1094.5300000000002,-594.53,-54.31829186956958
Stuart McDonald,63,5,8,6,688.4200000000001,-188.41999999999996,-27.369919525870827
Mitchell Miller,62,5,2,8,687.98,-187.98,-27.32346870548562
Adam Sanderson,57,5,8,6,1121.98,-621.9800000000001,-55.43592577407798
Toby Lynn,56,5,3,1,384.46,115.54,30.05254122665557
Bailey McDonough,47,5,6,3,446.91,53.08999999999998,11.87934930970441
Ajay Markham,43,5,5,3,568.9200000000001,-68.92000000000002,-12.114181255712579
Mark Yole,43,5,4,2,539.95,-39.95,-7.398833225298638
Glenn Bull,38,5,1,6,320.45000000000005,179.55000000000004,56.030581994070836
Layne Dwyer,34,5,2,5,462.90999999999997,37.089999999999996,8.012356613596596
Chris Lewis,33,5,6,1,348.97999999999996,151.02000000000004,43.274686228437176
Declan Murphy,32,5,5,7,534.87,-34.86999999999995,-6.5193411483164025
David Miles,30,5,2,2,380.40000000000003,119.60000000000002,31.44058885383807
Jorja Daskalovski,29,5,3,2,424.26000000000005,75.74000000000001,17.852260406354596
Will Rothwell,29,5,6,1,614.86,-114.85999999999997,-18.680675275672506
Tamara Battle,25,5,1,3,351.48,148.51999999999998,42.2556048708319
Trent Dawson,25,5,6,6,677.35,-177.35000000000002,-26.182918727393524
John O'Shea,24,5,2,4,419.46000000000004,80.54000000000002,19.200877318457067
Brodie Davis,23,5,3,2,347.17999999999995,152.82,44.01751252952359
Tiarna Ford,23,5,2,2,708.92,-208.92000000000002,-29.470179992100665
Jack Chapple,105,6,15,13,1084.69,-484.69,-44.684656445620405
Jackie Barker,67,6,7,11,918.59,-318.59,-34.682502531053025
Kyle Symington,66,6,3,3,803.0099999999999,-203.00999999999996,-25.281129749318186
Blake Medlyn,53,6,8,4,697.59,-97.59000000000005,-13.989592740721632
Connor Clarke,49,6,3,8,611.74,-11.740000000000023,-1.9191159642985618
Jodi Quinlan,40,6,1,4,480.21999999999997,119.78,24.942734579984176
Lochie Cook,38,6,3,5,551.22,48.78000000000001,8.849461195167086
Blake Jones,36,6,3,0,494.01,105.98999999999998,21.45503127467055
Narissa Elkins,30,6,4,4,512.99,87.00999999999998,16.961344275716872
Samantha Hill,29,6,1,4,387.09,212.91,55.00271254746958
Abby Sanderson,26,6,0,3,498.94000000000005,101.06000000000003,20.25494047380447
Leonard Cain,96,7,10,11,1193.41,-493.4099999999999,-41.34455048977299
Michael Bellman,81,7,14,7,1073.53,-373.53,-34.79455627695546
Liam Older,66,7,6,5,844.1699999999998,-144.17000000000002,-17.078313609817933
Luke Dunne,60,7,10,10,973.69,-273.69,-28.108535570869574
Dylan Egerton-Green,57,7,6,5,761.15,-61.15000000000001,-8.03389607830257
Corey Johnson,55,7,5,8,666.33,33.66999999999998,5.053051791154529
Tom Callaghan,50,7,10,8,872.98,-172.97999999999996,-19.81488693899058
Zara Fitzpatrick,41,7,4,5,621.42,78.58000000000001,12.645231888255934
Vaughan Duncan,85,8,23,10,1577.1200000000001,-777.1200000000001,-49.274627168509696
Shane Graham,79,8,8,9,973.2300000000001,-173.22999999999996,-17.799492411865636
Ryan Sanderson,58,8,10,8,1246.6599999999999,-446.66,-35.82853384242697
Gary Hall Jnr,56,8,5,9,1102.46,-302.46,-27.435008979917637
Mat Rue,54,8,6,10,932.5900000000003,-132.59000000000006,-14.217394567816513
Nathan Jack,53,8,8,8,1039.08,-239.07999999999993,-23.00881549062632
Danielle Hill,49,8,9,6,998.2199999999999,-198.22,-19.857346076015308
Kevin Weidenbach,41,8,5,10,902.94,-102.93999999999997,-11.400536026757035
Brad Hewitt,32,8,8,5,1053.37,-253.37,-24.05327662644655
Trent Wheeler,91,9,7,9,963.6899999999999,-63.69000000000002,-6.608971764779133
Greg Bennett,72,9,2,10,724.23,175.77000000000004,24.26991425375917
Jye Coney,71,9,9,7,1142.4600000000003,-242.46000000000004,-21.22262486213959
Ashleigh Delosa,67,9,8,8,1200.57,-300.57,-25.03560808615908
Gary Bond,59,9,9,8,1061.8600000000001,-161.85999999999996,-15.243064057408692
Tasmyn Potter,51,9,9,7,828.8999999999999,71.09999999999997,8.577633007600431
Blake Hughes,48,9,6,5,998.22,-98.22000000000003,-9.839514335517222
Ryan Warwick,44,9,8,3,651.3300000000002,248.67,38.17880337156279
Ewa Justice,42,9,4,8,719.47,180.53,25.09208167123021
Brendan Barnes,122,10,12,14,1558.4799999999998,-558.48,-35.83491607207023
