Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Dean Cernovskis,100,12,14,12,1313.88,-113.87999999999992,-8.667458215362126
Robert Morris,100,12,14,17,1571.3,-371.2999999999999,-23.630115191242915
Brodie Davis,100,12,17,10,1517.7000000000003,-317.7,-20.932990709626402
Charlie Castles,100,12,17,13,1897.08,-697.08,-36.74489215004112
Will Rixon,100,12,21,14,2101.8799999999997,-901.8800000000001,-42.90825356347652
Jake Bigeni,100,13,3,13,1113.4299999999998,186.57,16.7563295402495
Declan Murphy,100,13,6,10,1336.8799999999999,-36.880000000000024,-2.7586619591885606
Michael Jnr Day,100,13,9,8,972.47,327.53,33.680216356288625
Michael Formosa,100,13,9,13,1109.34,190.66000000000005,17.18679575242938
Hannah Parish,100,13,10,9,1190.1399999999999,109.86000000000003,9.23084679113382
Jackie Barker,100,13,10,13,1308.3299999999997,-8.330000000000009,-0.6366895202280778
Michael Stanley,100,13,11,2,1967.0,-667.0,-33.909506863243514
Joseph Suvaljko,100,13,11,7,1298.0599999999995,1.9400000000000412,0.14945380028658475
Phoebe Betts,100,13,12,11,1410.17,-110.17000000000007,-7.812533240673115
Narissa Elkins,100,13,13,16,1436.55,-136.55000000000004,-9.505412272458322
Jack Watson,100,13,14,10,1741.4299999999996,-441.42999999999995,-25.34870767128165
Gaita Pullicino,100,13,15,5,1762.7399999999998,-462.74000000000007,-26.251177144672504
Donna Castles,100,13,16,7,1565.13,-265.12999999999994,-16.939806916997306
Jason Hewitt,100,13,16,8,1804.1699999999998,-504.16999999999985,-27.944705875832092
Tasmyn Potter,100,13,17,12,1782.2699999999998,-482.2699999999999,-27.059312000987507
Tom Ison,100,13,17,13,2073.4599999999996,-773.4599999999999,-37.30286574132127
Bernie Hewitt,100,13,18,8,2076.0600000000004,-776.0600000000001,-37.38138589443464
Ajay Markham,100,14,7,10,1321.06,78.93999999999997,5.975504519098298
Tiarna Ford,100,14,7,13,1820.0299999999997,-420.0300000000001,-23.07819101882937
Kyle Harper,100,14,8,6,1060.42,339.58000000000004,32.02316063446559
Olivia Frisby,100,14,8,12,1477.75,-77.74999999999994,-5.261377093554386
Joshua Gallagher,100,14,9,10,1699.8799999999999,-299.8800000000001,-17.641245264371612
Tayla French,100,14,9,15,1641.0999999999995,-241.09999999999988,-14.691365547498627
Ethan Arnott,100,14,10,13,1506.56,-106.56000000000003,-7.073067119796093
David Miles,100,14,11,12,1337.8899999999999,62.10999999999993,4.642384650457058
Hannah Lewis,100,14,11,17,1443.97,-43.96999999999992,-3.045077113790447
Adrian Pace,100,14,11,19,1650.6300000000003,-250.63,-15.183899480804294
Scott Hewitt,100,14,12,6,1574.25,-174.24999999999997,-11.068762902969667
Cameron Hart,100,14,14,12,2329.76,-929.76,-39.90797335347847
Ryan Sanderson,100,14,14,12,2049.08,-649.0799999999999,-31.676654889023364
Laura Wilson,100,14,14,16,1503.16,-103.15999999999995,-6.862875542191114
Lindsay Harper,100,14,15,10,1260.15,139.85,11.09788517240011
Damian Wilson,100,15,3,14,1392.01,107.99000000000008,7.757846567194207
Grace Jones,100,15,4,10,1255.1399999999999,244.86000000000004,19.508580716095423
