Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Matthew McCaffery,5,0,1,1,47.150000000000006,-47.150000000000006,-100.0
Nicholas O'Connor,5,0,1,1,20.27,-20.27,-100.0
Paula Sapio,6,0,1,1,56.29,-56.29,-100.0
Phillip Ellery,4,0,1,1,56.839999999999996,-56.839999999999996,-100.0
Rikki Cernovskis,2,0,1,1,15.77,-15.77,-100.0
Riley Pace,6,0,1,1,34.14,-34.14,-100.0
Sam Thornley,4,0,1,1,30.43,-30.43,-100.0
Shane Young,7,0,1,1,21.830000000000002,-21.830000000000002,-100.0
Travis Bullock,14,0,1,1,97.7,-97.7,-100.0
Adam Ruggari,2,0,1,0,3.5999999999999996,-3.5999999999999996,-100.0
Austin Mifsud,7,0,1,0,52.17,-52.17,-100.0
Bob Butt,3,0,1,0,39.46,-39.46,-100.0
Brett Holloway,2,0,1,0,22.23,-22.23,-100.0
Bronte Miller,10,0,1,0,54.49999999999999,-54.49999999999999,-100.0
Bryson Grima,1,0,1,0,57.14,-57.14,-100.0
Carter Dalgety,3,0,1,0,32.489999999999995,-32.489999999999995,-100.0
Darren Billinger,5,0,1,0,52.57,-52.57,-100.0
Darren Binskin,9,0,1,0,27.05,-27.05,-100.0
David Barbetti,8,0,1,0,39.95,-39.95,-100.0
David Jack,1,0,1,0,31.25,-31.25,-100.0
Doc Wilson,9,0,1,0,19.029999999999998,-19.029999999999998,-100.0
Ella Brechin,6,0,1,0,40.41,-40.41,-100.0
Garry Johnson,6,0,1,0,35.13999999999999,-35.13999999999999,-100.0
Garth Hoy,2,0,1,0,1.65,-1.65,-100.0
Glenn Williams,3,0,1,0,7.449999999999999,-7.449999999999999,-100.0
Gregory Cattell,3,0,1,0,36.28,-36.28,-100.0
Hannah Anforth,6,0,1,0,34.839999999999996,-34.839999999999996,-100.0
Harrison Orange,4,0,1,0,16.54,-16.54,-100.0
Jack Sullivan,4,0,1,0,36.92,-36.92,-100.0
Jakob White,5,0,1,0,31.189999999999998,-31.189999999999998,-100.0
James Rattray,4,0,1,0,59.64,-59.64,-100.0
Jared Kahlefeldt,6,0,1,0,26.420000000000005,-26.420000000000005,-100.0
Jarod Farrugia,5,0,1,0,15.02,-15.02,-100.0
John Stariha,8,0,1,0,30.020000000000003,-30.020000000000003,-100.0
Justin Pascoe,6,0,1,0,31.560000000000002,-31.560000000000002,-100.0
Kaiden Hayter,6,0,1,0,79.6,-79.6,-100.0
Kirra Langelaar,8,0,1,0,62.040000000000006,-62.040000000000006,-100.0
Lucas Bucca,5,0,1,0,53.06,-53.06,-100.0
Matthew Grant,1,0,1,0,10.53,-10.53,-100.0
Neil Day,4,0,1,0,68.06,-68.06,-100.0
Nick Youngson,3,0,1,0,2.31,-2.31,-100.0
Paul Hill,2,0,1,0,8.85,-8.85,-100.0
Sara Grout,10,0,1,0,52.44,-52.44,-100.0
Stacie Carbone,1,0,1,0,12.5,-12.5,-100.0
Tina Ridis,1,0,1,0,33.33,-33.33,-100.0
Trent Pilon,2,0,1,0,22.55,-22.55,-100.0
Jason Ainsworth,19,0,0,3,113.89999999999998,-113.89999999999998,-100.0
Joshua Holberton,5,0,0,3,63.9,-63.9,-100.0
Nick Beale,11,0,0,3,107.45,-107.45,-100.0
