Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
C B Frisby,23,3,4,5,442.7200000000001,-142.71999999999997,-32.23707986989518
M T Hawke,21,3,1,3,315.02000000000004,-15.019999999999989,-4.767951241191031
J K Donovan,21,3,4,1,264.23,35.770000000000024,13.537448435075511
L A McCarthy,18,3,2,3,441.79999999999995,-141.8,-32.09597102761431
A C Duggan,17,3,0,4,111.21,188.79000000000005,169.75991367682767
C V Castles,17,3,5,2,349.84,-49.84,-14.246512691516125
A M Golino,16,3,0,2,252.39999999999998,47.599999999999966,18.858954041204427
D C Garrard,15,3,1,4,326.31999999999994,-26.319999999999993,-8.065702378033832
G P Jones,15,3,2,2,289.28,10.720000000000013,3.7057522123893856
M G Brennan,14,3,1,2,291.19999999999993,8.800000000000004,3.021978021978024
B C Smith,14,3,3,1,134.79999999999998,165.2,122.55192878338279
P A Keogh,14,3,4,1,236.63000000000002,63.370000000000026,26.78020538393273
T Abela,12,3,1,2,294.59,5.410000000000018,1.8364506602396615
J G Newberry,12,3,3,0,214.69000000000003,85.31000000000003,39.73636405980717
G P Elliott,11,3,0,0,183.01999999999995,116.97999999999998,63.916511856627686
G E Hall Snr,11,3,0,1,483.62,-183.61999999999998,-37.967825979074476
S J Zammit,10,3,1,1,241.82,58.18000000000001,24.059217599867676
N Kerr,63,4,5,5,692.8800000000001,-292.88,-42.26994573374898
R A Graham,52,4,8,9,571.9699999999999,-171.9699999999999,-30.06626221654981
L J Weidemann,51,4,7,6,593.4600000000002,-193.45999999999998,-32.59865871330838
G A Panella,47,4,3,6,490.54,-90.53999999999999,-18.457210421168504
A J Turnbull,39,4,2,3,767.0599999999998,-367.06,-47.85284071650198
A S Turnbull,39,4,4,9,446.6,-46.59999999999998,-10.434393193013877
D A Micallef,36,4,5,7,516.97,-116.97000000000001,-22.626071145327582
T E Rattray,32,4,3,0,367.4,32.59999999999998,8.87316276537833
M A Formosa,32,4,7,3,523.1600000000001,-123.16000000000003,-23.54155516476795
W J Turnbull,30,4,2,4,334.08,65.92000000000002,19.73180076628353
C T Crook,29,4,4,2,599.7900000000001,-199.79000000000002,-33.309991830474
"D A McDowell, K L McDowell",28,4,2,5,390.02000000000004,9.980000000000032,2.5588431362494313
J A Hayman,28,4,4,1,379.59,20.41000000000006,5.3768539740246215
P H Rixon,27,4,4,4,434.34000000000003,-34.339999999999996,-7.906248561035133
C A Godden,26,4,2,4,411.11,-11.110000000000005,-2.702439736323613
J A Tubbs,23,4,3,1,520.34,-120.34000000000002,-23.12718607064612
R W Hart,22,4,6,1,306.57000000000005,93.43000000000004,30.475910884952874
R J Holberton,20,4,1,1,350.06000000000006,49.93999999999998,14.266125807004506
M J Craven,17,4,2,3,301.94,98.05999999999997,32.476650990262954
C D Svanosio,16,4,4,3,377.0,23.0,6.10079575596817
L P O'Neill,14,4,1,4,294.61999999999995,105.37999999999998,35.76810807141403
J K Prentice,14,4,2,0,311.28,88.72,28.501670521716783
S M O'Connor,14,4,2,1,317.68,82.32,25.912868295139763
R L Hillier,13,4,2,1,378.5199999999999,21.480000000000004,5.674733171298745
G F Dwyer,70,5,7,8,902.5099999999999,-402.51,-44.598951812168295
R J Moore,47,5,7,3,797.2999999999998,-297.3,-37.28834817509094
S J Lee,46,5,2,2,454.3,45.70000000000002,10.059432093330402
J N McMullen,46,5,3,3,475.66,24.34000000000003,5.117100449901195
L Inwood,35,5,7,1,580.3100000000001,-80.30999999999997,-13.83915493443159
D M Miles,32,5,3,7,516.02,-16.02000000000001,-3.104530832138291
