Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
J S Turnbull,100,6,8,11,1245.0399999999997,-645.04,-51.80877722804087
M J Butler,100,6,9,11,978.05,-378.05,-38.65344307550739
T A Moffat,100,6,9,13,1037.56,-437.55999999999995,-42.17201896757777
"A M Butt, S L Smith",100,6,12,15,1210.1100000000001,-610.1099999999999,-50.417730619530445
T L White,100,6,13,7,1218.8999999999999,-618.9,-50.77528919517598
D S Waite,100,6,13,12,824.3399999999999,-224.33999999999992,-27.214498871824727
P R Williams,100,6,13,12,742.6600000000001,-142.6599999999999,-19.209328629520897
J Breen,100,6,14,9,1175.01,-575.0100000000001,-48.93660479485282
Greg Norman,100,6,15,8,1198.52,-598.52,-49.93825718386009
M S Elder,100,6,17,9,1077.4199999999996,-477.41999999999996,-44.31141059196972
K J Pizzuto,100,6,17,12,1367.34,-767.34,-56.11918030628813
K E Rattray,100,7,3,6,734.01,-34.009999999999906,-4.633451860328865
P J Westbury,100,7,4,7,613.84,86.16000000000003,14.036230939658545
J P Thornton,100,7,5,8,723.6299999999999,-123.63,-17.084697981012397
J R Turner,100,7,5,8,633.0699999999999,66.93000000000009,10.572290583979669
D R Miller,100,7,5,11,922.85,-222.85,-24.14801972151487
J A Livingstone,100,7,5,11,860.39,-160.39,-18.641546275526213
C M Watson,100,7,5,12,1291.0600000000002,-591.0600000000002,-45.78098616640591
M B Towers,100,7,6,11,819.72,-119.71999999999996,-14.604987068755179
K A McDeed,100,7,6,17,1383.51,-683.51,-49.40405201263453
M S Borg,100,7,7,4,714.7299999999999,-14.72999999999991,-2.0609181089362294
P S Kahlefeldt,100,7,7,8,1145.1299999999999,-445.13000000000005,-38.8715691668195
J O'Sullivan,100,7,7,9,989.0,-289.0,-29.221435793731043
P J Costello,100,7,7,13,977.93,-277.93,-28.420234577116975
J T Walker,100,7,8,11,698.4499999999999,1.5500000000000407,0.2219199656382047
S L Suvaljko,100,7,8,20,1051.6299999999999,-351.6299999999999,-33.43666498673487
D G Simmonds,100,7,9,13,1206.58,-506.58,-41.98478343748447
P A Morgan,100,7,9,14,742.47,-42.46999999999996,-5.720096434872785
D P Hewitt,100,7,10,5,1002.15,-302.15,-30.15017711919373
B A Lynn,100,7,10,9,931.3700000000001,-231.36999999999998,-24.841899567304075
G F Dwyer,100,7,10,9,1184.0799999999997,-484.0799999999999,-40.8823728126478
D J McCall,100,7,10,10,948.78,-248.77999999999997,-26.22104175889036
M J Elkins,100,7,10,13,1179.22,-479.2199999999999,-40.638727294313185
G R Coney,100,7,11,9,907.24,-207.24,-22.842908161015828
P R Romero,100,7,12,11,1136.12,-436.12000000000006,-38.38679012780341
M A Xuereb,100,7,12,12,1309.85,-609.8499999999999,-46.55876627094705
"J K Neilson, K Wilson",100,7,13,12,1384.7,-684.6999999999998,-49.44753376182565
D A Murphy,100,7,13,13,1307.6,-607.6,-46.466809421841546
B W Ainsworth,100,7,14,6,1357.31,-657.3100000000001,-48.427404203903315
C J Slater,100,7,14,10,1267.8100000000002,-567.8099999999998,-44.78667939202244
R W Hart,100,7,15,14,1369.9899999999998,-669.9899999999999,-48.90473653092358
N Tardio,100,7,16,13,1243.9800000000002,-543.9799999999999,-43.728998858502536
D J Goulden,100,7,16,16,850.81,-150.81000000000006,-17.725461618927856
D R Young,100,7,17,8,1346.8600000000001,-646.8600000000001,-48.02726341267839
J J McKenzie,100,7,18,10,1051.73,-351.7299999999999,-33.44299392429615
