Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Ajay Markham,100,15,16,12,1654.0100000000002,-154.01000000000002,-9.311310088814457
Mat Rue,100,15,17,12,1878.6399999999999,-378.63999999999993,-20.15500574883958
Michael Formosa,100,15,18,10,1595.98,-95.98000000000002,-6.013859822804798
David Miles,100,15,19,14,1703.94,-203.93999999999988,-11.968731293355393
Anthony Robinson,100,15,19,17,1752.3100000000002,-252.31000000000003,-14.398707991165946
Glen Craven,100,16,11,7,1763.49,-163.49,-9.270820928953382
Greg Sugars,100,16,14,11,2109.1600000000003,-509.15999999999997,-24.140416089817744
Brendan Barnes,100,16,16,9,1590.3799999999999,9.62000000000004,0.6048868823803142
Grant Dixon,100,17,7,17,2026.1499999999999,-326.15,-16.09703131554919
Lleyton Green,100,17,9,13,1759.7499999999998,-159.75,-9.07799403324336
Chloe Formosa,100,17,11,15,1785.19,-85.18999999999997,-4.77204107125852
Adam Sanderson,100,17,14,12,1804.44,-104.43999999999997,-5.78794529050564
Abbey Turnbull,100,17,15,8,1782.9099999999999,-82.90999999999991,-4.650262772658178
Nathan Dawson,100,17,17,18,1955.3599999999997,-255.35999999999996,-13.059487766958513
Amanda Turnbull,100,17,18,9,2339.14,-639.14,-27.323717263609705
Harrison Ross,100,18,14,8,1550.98,249.01999999999995,16.05565513417323
Aaron Dunn,100,18,15,14,2502.38,-702.3800000000001,-28.068478808174618
Jordan Chibnall,100,18,18,8,2356.25,-556.25,-23.607427055702917
Nathan Jack,100,18,18,13,2398.27,-598.27,-24.94589850183674
Jackson Painting,100,18,19,9,1996.1399999999996,-196.14,-9.825964110733718
Charlie Castles,100,18,19,18,2103.0599999999995,-303.06,-14.410430515534511
Peter McRae,100,19,12,8,1568.8600000000001,331.14000000000004,21.107045880448226
Kate Gath,100,19,12,9,2488.8299999999995,-588.83,-23.65890800094824
Jayson Finnis,100,19,21,14,2144.66,-244.65999999999994,-11.407868846343941
Blake Hughes,100,20,10,10,1643.4999999999998,356.50000000000017,21.691512017036825
Tom Ison,100,20,15,14,2177.4800000000005,-177.47999999999996,-8.150706321068387
Danielle Hill,100,20,16,15,2532.8,-532.8000000000001,-21.036007580543274
Allan McDonough,100,21,15,16,2803.92,-703.9199999999998,-25.104853205512278
James Rattray,100,21,17,7,2121.2400000000002,-21.239999999999938,-1.0013011257566298
Jocelyn Young,100,21,22,11,2804.07,-704.0700000000002,-25.10885962190673
Samantha Hill,100,22,9,13,1952.6099999999997,247.38999999999996,12.669708748802885
Deni Roberts,100,22,11,7,2495.8999999999996,-295.8999999999999,-11.855442926399293
Wayne Hill,100,22,16,11,2286.16,-86.16,-3.7687650908072925
Bernie Hewitt,100,22,17,7,2243.4700000000003,-43.45999999999998,-1.937177675654231
Jason Lee,100,22,23,11,2856.29,-656.2900000000001,-22.97700863707817
Abbey Vidovich,100,23,9,13,2378.9700000000003,-78.96999999999997,-3.3195038188795976
Ryan Sanderson,100,23,12,10,2446.54,-146.53999999999996,-5.989683389603275
Jye Coney,100,23,15,7,1875.4699999999998,424.53000000000003,22.635925927900743
Cameron Hart,100,23,15,11,2340.7200000000003,-40.71999999999997,-1.7396356676578133
Rohan Hillier,100,24,11,9,2471.33,-171.32999999999998,-6.932704252366134
Brad Hewitt,100,24,14,18,2855.04,-455.03999999999996,-15.93813046402152
James Herbertson,100,24,15,16,2594.1000000000004,-194.09999999999988,-7.48236382560425
Ryan Hryhorec,100,24,23,10,2355.53,44.46999999999999,1.8878978404010982
Gary Hall Jnr,100,25,14,12,2726.02,-226.01999999999995,-8.29120842840478
Pete McMullen,100,26,13,7,2762.27,-162.27000000000004,-5.874516249316686
Michael Stanley,100,26,17,11,2641.05,-41.049999999999955,-1.5543060525169894
Mark Pitt,100,29,17,6,3128.39,-228.39,-7.300560352130009
Luke McCarthy,100,31,12,15,3214.7699999999995,-114.77000000000002,-3.5700843295165763
